Text,Username,like Count,retweet Count,reply Count,Datetime
@EmRoseBaz I had a startup who’d just landed $100m in funding ask me to do a 70 min briefing call in exchange for a €30 Amazon voucher. Nope. Instead I got this jumper made. Now my standard reply to such requests. https://t.co/gFnLqdt82r,sharonodea,84,5,5,2021-05-01 18:53:53+00:00
Request for startup: Smoke detector which the user can address via Bluetooth to declare that they’re just trying to make a burger and that the exhaust fan on the stove doesn’t actually do anything,Jason_Rowley,19,2,4,2021-05-02 18:26:57+00:00
"@rannjeeets Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,16,12,1,2021-05-02 14:58:23+00:00
#Startup https://t.co/MPyxvV80we - Web #app hosting solution for on-demand temporary staging environments automatically created for every pull #request.,SuperbCrew_com,8,8,0,2021-05-01 18:32:01+00:00
"Request for startup: a last mile delivery company that instead of offering a no contact delivery, offers delivery with a hug or a high five.",jayzalowitz,8,0,4,2021-05-01 04:25:16+00:00
Request for startup: a credit card that’s connected to your crypto wallet and settles without converting to dollars when someone accepts crypto. https://t.co/NJmO8woLAx,ricfulop,7,0,3,2021-05-02 17:44:28+00:00
Request for startup: OnlyFans but for Tweet drafts.,morganb,7,0,2,2021-05-01 18:22:43+00:00
"@iSalmanAnsari Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,5,0,0,2021-05-01 18:56:23+00:00
"@FinMinIndia @ianuragthakur @nsitharamanoffc @Anurag_Office @PIB_India @DDNewslive @airnewsalerts @cbic_india @GST_Council @ficci_india @ASSOCHAM4India @FollowCII Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,4,2,0,2021-05-01 18:57:07+00:00
"@Anurag_Office Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,3,4,0,2021-05-01 06:32:40+00:00
"@FinMinIndia @nsitharamanoffc @Anurag_Office @PIB_India @DDNewslive @airnewsalerts @IncomeTaxIndia @icsi_cs @ficci_india @ASSOCHAM4India @FollowCII Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,2,1,2,2021-05-01 10:29:52+00:00
"Request for Startup: detect when I'm doing something suboptimal, and tell me how to do it better.

For example, if in a spreadsheet, tell me how to get something done better.

Tips like these are great, but education isn't proactive with bad actions https://t.co/0dnfmHLtjf",ikirigin,2,0,0,2021-05-02 20:24:20+00:00
"@iSalmanAnsari @GST_Council @cbic_india @nsitharaman Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave
@DIPPGOI",MohitSa93812662,2,0,0,2021-05-01 18:56:30+00:00
